 ,value
scen1009,0.008475
scen1010,0.008475
scen1011,0.008475
scen1012,0.008475
scen1013,0.008475
scen1014,0.008475
scen1015,0.008475
scen1016,0.008475
scen1017,0.008475
scen1018,0.008475
scen1019,0.008475
scen1020,0.008475
scen1021,0.008475
scen1022,0.008475
scen1023,0.008475
scen1024,0.008475
scen1025,0.008475
scen1026,0.008475
scen1027,0.008475
scen1028,0.008475
scen1029,0.008475
scen1030,0.008475
scen1031,0.007692
scen1032,0.007692
scen1033,0.007692
scen1034,0.007692
scen1035,0.007692
scen1036,0.007692
scen1037,0.007692
scen1038,0.007692
scen1039,0.007692
scen1040,0.007692
scen1041,0.007692
scen1042,0.007692
scen1043,0.007692
scen1044,0.007692
scen1045,0.007692
scen1046,0.007692
scen1047,0.007692
scen1048,0.007692
scen1049,0.007692
scen1050,0.007692
scen1051,0.007692
scen1052,0.007692
scen1053,0.007692
scen1054,0.007692
scen1055,0.007692
scen1056,0.007692
scen1057,0.007692
scen1058,0.007692
scen1059,0.007692
scen1060,0.007692
scen1061,0.007692
scen1062,0.007692
scen1063,0.007692
scen1064,0.007692
scen1065,0.007692
scen1066,0.007692
scen1067,0.007692
scen1068,0.007692
scen1069,0.007692
scen1070,0.007692
scen1071,0.007692
scen1072,0.007692
scen1073,0.007692
scen1074,0.007692
scen1075,0.007692
scen1076,0.007692
scen1077,0.007692
scen1078,0.007692
scen1079,0.007692
scen1080,0.007692
scen1081,0.007692
scen1082,0.007692
scen1083,0.007692
scen1084,0.007692
scen1085,0.007692
scen1086,0.007692
scen1087,0.007692
scen1088,0.007692
scen1089,0.007692
scen1090,0.007692
scen1091,0.007692
scen1092,0.007692
scen1093,0.007692
scen1094,0.007692
scen1095,0.007692
scen1096,0.007692
scen1097,0.007692
scen1098,0.007692
scen1099,0.007692
scen1100,0.007692
scen1101,0.007692
scen1102,0.007692
scen1103,0.007692
scen1104,0.007692
scen1105,0.007692
scen1106,0.007692
scen1107,0.007692
scen1108,0.007692
scen1109,0.007692
scen1110,0.007692
scen1111,0.007692
scen1112,0.007692
scen1113,0.007692
scen1114,0.007692
scen1115,0.007692
scen1116,0.007692
scen1117,0.007692
scen1118,0.007692
scen1119,0.007692
scen1120,0.007692
scen1121,0.007692
scen1122,0.007692
scen1123,0.007692
scen1124,0.007692
scen1125,0.007692
scen1126,0.007692
scen1127,0.007692
scen1128,0.007692
scen1129,0.007692
scen1130,0.007692
scen1131,0.007692
scen1132,0.007692
scen1133,0.007692
scen1134,0.007692
scen1135,0.007692
scen1136,0.007692
scen1137,0.007692
scen1138,0.007692
scen1139,0.007692
scen1140,0.007692
scen1141,0.007692
scen1142,0.007692
scen1143,0.007692
scen1144,0.007692
scen1145,0.007692
scen1146,0.007692
scen1147,0.007692
scen1148,0.007692
scen1149,0.007692
scen1150,0.007692
scen1151,0.007692
scen1152,0.007692
scen1153,0.007692
scen1154,0.007692
scen1155,0.007692
scen1156,0.007692
scen1157,0.007692
scen1158,0.007692
scen1159,0.007692
scen1160,0.007692
scen1161,0.006993
scen1162,0.006993
scen1163,0.006993
scen1164,0.006993
scen1165,0.006993
scen1166,0.006993
scen1167,0.006993
scen1168,0.006993
scen1169,0.006993
scen1170,0.006993
scen1171,0.006993
scen1172,0.006993
scen1173,0.006993
scen1174,0.006993
scen1175,0.006993
scen1176,0.006993
scen1177,0.006993
scen1178,0.006993
scen1179,0.006993
scen1180,0.006993
scen1181,0.006993
scen1182,0.006993
scen1183,0.006993
scen1184,0.006993
scen1185,0.006993
scen1186,0.006993
scen1187,0.006993
scen1188,0.006993
scen1189,0.006993
scen1190,0.006993
scen1191,0.006993
scen1192,0.006993
scen1193,0.006993
scen1194,0.006993
scen1195,0.006993
scen1196,0.006993
scen1197,0.006993
scen1198,0.006993
scen1199,0.006993
scen1200,0.006993
