 ,value
scen894,0.0004
scen895,0.0012
scen896,0.0006
scen897,0.0006
scen898,0.0008
scen899,0.001
scen900,0.0006
scen901,0.0004
scen902,0.0006
scen903,0.0002
scen904,0.0008
scen905,0.0006
scen906,0.0004
scen907,0.0006
scen908,0.0004
scen909,0.0004
scen910,0.0012
scen911,0.0008
scen912,0.0006
scen913,0.0016
scen914,0.0012
scen915,0.0016
scen916,0.0012
scen917,0.0016
scen918,0.0016
scen919,0.002
scen920,0.0012
scen921,0.0012
scen922,0.003
scen923,0.001
scen924,0.002
scen925,0.0008
scen926,0.0014
scen927,0.0022
scen928,0.0018
scen929,0.001
scen930,0.0022
scen931,0.0012
scen932,0.0018
scen933,0.002
scen934,0.0008
scen935,0.001
scen936,0.0012
scen937,0.0012
scen938,0.001
scen939,0.0014
scen940,0.0014
scen941,0.001
scen942,0.0012
scen943,0.0008
scen944,0.0014
scen945,0.001
scen946,0.0006
scen947,0.001
scen948,0.0012
scen949,0.0014
scen950,0.0012
scen951,0.0006
scen952,0.0012
scen953,0.001
scen954,0.0016
scen955,0.0012
scen956,0.0012
scen957,0.001
scen958,0.0008
scen959,0.0016
scen960,0.0018
scen961,0.0004
scen962,0.0014
scen963,0.0012
scen964,0.0008
scen965,0.0012
scen966,0.0014
scen967,0.0014
scen968,0.0006
scen969,0.0006
scen970,0.001
scen971,0.0006
scen972,0.0012
scen973,0.0008
scen974,0.0006
scen975,0.0006
scen976,0.0012
scen977,0.002
scen978,0.0016
scen979,0.001
scen980,0.0012
scen981,0.0008
scen982,0.001
scen983,0.0008
scen984,0.0006
scen985,0.0014
scen986,0.0008
scen987,0.0014
scen988,0.0006
scen989,0.001
scen990,0.0006
scen991,0.0008
scen992,0.0004
scen993,0.0012
scen994,0.0008
scen995,0.0006
scen996,0.0006
scen997,0.0004
scen998,0.001
scen999,0.0006
scen1000,0.0004
scen1001,0.0004
scen1002,0.0012
scen1003,0.0006
scen1004,0.0006
scen1005,0.0008
scen1006,0.001
scen1007,0.0006
scen1008,0.0004
scen1009,0.0006
scen1010,0.0002
scen1011,0.0008
scen1012,0.0006
scen1013,0.0004
scen1014,0.0006
scen1015,0.0004
scen1016,0.0004
scen1017,0.0012
scen1018,0.0008
scen1019,0.0006
scen1020,0.0004
scen1021,0.0008
scen1022,0.001
